name,subassembly,solid_count,volume_mm3,provenance
Crankcase_4x83mm_Bores,01_Housings,1,10307654.206,"MM01-9/01-12: 83 mm bores, 90 mm pitch, cast iron, no separate cylinder liners. Exterior and coolant paths reconstructed."
Main_Bearing_Cap_1,02_Cranktrain,1,53570.496,Reconstructed geometry; dimensions not OEM
Main_Bearing_1,02_Cranktrain,1,7614.09,MM01-11 five mains; journal diameters assumed
Main_Bearing_Cap_2,02_Cranktrain,1,53570.496,Reconstructed geometry; dimensions not OEM
Main_Bearing_2,02_Cranktrain,1,7614.09,MM01-11 five mains; journal diameters assumed
Main_Bearing_Cap_3,02_Cranktrain,1,53570.496,Reconstructed geometry; dimensions not OEM
Main_Bearing_3,02_Cranktrain,1,7614.09,MM01-11 five mains; journal diameters assumed
Main_Bearing_Cap_4,02_Cranktrain,1,53570.496,Reconstructed geometry; dimensions not OEM
Main_Bearing_4,02_Cranktrain,1,7614.09,MM01-11 five mains; journal diameters assumed
Main_Bearing_Cap_5,02_Cranktrain,1,53570.496,Reconstructed geometry; dimensions not OEM
Main_Bearing_5,02_Cranktrain,1,7614.09,MM01-11 five mains; journal diameters assumed
Wet_Oil_Sump,01_Housings,1,1369775.845,Reconstructed geometry; dimensions not OEM
Sump_Rim,01_Housings,1,197105.982,Reconstructed geometry; dimensions not OEM
Sump_Screw_215_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_215_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_260_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_260_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_305_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_305_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_350_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_350_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_395_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_395_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_440_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_440_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_485_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_485_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_530_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_530_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_575_-92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Sump_Screw_575_92,Fasteners,1,402.124,Reconstructed geometry; dimensions not OEM
Cylinder_Head_16Valve_Injector_Ports,01_Housings,1,4865822.945,"MM01-12 aluminium head, 16 valves, central direct injectors; ports/seats reconstructed"
DOHC_Cover,01_Housings,1,758139.693,Reconstructed geometry; dimensions not OEM
Cover_Rib_270,01_Housings,1,8736.0,Reconstructed geometry; dimensions not OEM
Cover_Rib_360,01_Housings,1,8736.0,Reconstructed geometry; dimensions not OEM
Cover_Rib_450,01_Housings,1,8736.0,Reconstructed geometry; dimensions not OEM
Cover_Rib_540,01_Housings,1,8736.0,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_01,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_02,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_03,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_04,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_05,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_06,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_07,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_08,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_09,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_10,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_11,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
HeadCover_Screw_12,Fasteners,1,351.858,Reconstructed geometry; dimensions not OEM
Crankshaft_4Throws_5Mains,02_Cranktrain,1,1721423.523,"92 mm stroke fixes 46 mm throw. Journals, counterweights, oil holes assumed; MM Fig01-7 reference."
Piston_C1,02_Cranktrain,1,128525.822,"83 mm bore / 92 mm stroke. Diameter clearance, crown and pin size assumed; equivalent bowl volume matches 17.5:1."
